Organization,Country
"AAA Service Laboratory, Inc",United States of America
Albert Einstein College of Medicine,United States of America
Ambry Genetics,United States of America
Baylor College of Medicine,United States of America
Beckman Coulter Genomics,United States of America
Besta,Italy
Beth Israel Deaconess Medical Center,United States of America
BGI,United States of America
BGI Americas Corporation,United States of America
Biocenter Medical University Innsbruck,Austria
Biochain,United States of America
BioGen Medical Ins. Co. Ltd.,Turkey
Bioinformatics centre,India
Biomatters Limited,New Zealand
bioMerieux,France
Bioo Scientific,United States of America
BioSci,United States of America
Biostorage Technologies,United States of America
Biotechnology,Malaysia
Black Hills State University,United States of America
Blood Center of Wisconsin,United States of America
BMR Genomics,Italy
Boehringer-Ingelheim,Germany
Bogazici University,Turkey
Boston University,United States of America
Brandeis University,United States of America
Breast International Group,Belgium
Brigham Young University,United States of America
Broad Institute,United States of America
Brown University,United States of America
Cambridge Research Institute,United Kingdom
Cardiff University,United Kingdom
Carl von Ossietzky University Oldenburg,Germany
Case Western Reserve University (CWRU),United States of America
CCiT University of Barcleona,Spain
CCiTUBÊScientific and technological Centers UB,Spain
Central Diagnostics Patna,India
Centre National de la Recherche Scientifique (CNRS),France
Centrillion Biosciences,United States of America
Charite University,Germany
Children's Hospital Boston,United States of America
Children's Hospital of Philadelphia,United States of America
Children's Hospital of Philadelphia Research Institute,United States of America
Childrens Mercy Hospitals,United States of America
CHOC Children's Hospital,United States of America
CLC Bio,Denmark
Clemson University,United States of America
Cleveland Clinic Foundation,United States of America
Clinical Genomics Centre at the Mount Sinai Hospital,Canada
Clinomics,Korea; South
Clontech,United States of America
Cofactor Genomics,United States of America
College of Staten Island/CUNY,United States of America
Columbia University,United States of America
Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia
Competence Center of Food and Fermentation Technologies (CCFFT),Estonia
Complete Genomics,United States of America
Computomics,Germany
Concordia University,United States of America
Contango Strategies ltd,Canada
Copenhagen University,Denmark
Core Genetics Laboratories,United States of America
Coriell Institute for Medical Research,United States of America
Cornell Core Transgenic Mouse Facility,United States of America
Cornell University,United States of America
CRA Agricultural Research Council,Italy
Credence Health Pvt Ltd,Sri Lanka
Cyagen,China
Dalhousie University,Canada
Dana-Farber Cancer Institute,United States of America
Dana-Farber Cancer Institute,United States of America
Dartmouth College,United States of America
Dartmouth Medical School,United States of America
Diagnomics,United States of America
DNA LandMarks,Canada
DNAVision,Belgium
Donald Danforth Plant Science Center,United States of America
Donnelly Sequencing Centre,Canada
Duke University,United States of America
DZNE,Germany
Eagle Genomics,United Kingdom
EBI/Sanger,United Kingdom
EdgeBio,United States of America
Electronic BioSciences,United States of America
Emory University,United States of America
Enanohealth Limited,Hong Kong
Enzymatics,United States of America
EPFL,Switzerland
Erasmus MC,Netherlands
Eureka Genomics,United States of America
Eurofins,Denmark
Eurofins MWG Operon,Germany
Evrogen,Russia
Exosome Diagnostics GmbH,Germany
Fimlab Laboratoriot Oy,Finland
Food and Environment Research Agency,United Kingdom
Fox Chase Cancer Center,United States of America
Geisel School of Medicine at Dartmouth,United States of America
GenapSys,United States of America
Genentech,United States of America
Genethon,France
GeneWake GmbH,Germany
Genewiz,United States of America
Genia Technologies,United States of America
GenoLogics Life Science Software Inc,United States of America
Genomatix Software GmbH,Germany
Genome Life Sciences,India
Genome Quebec,United States of America
Genomepros,United States of America
GenomeQuest Inc,United States of America
GenomeWeb,United States of America
Genotek Ltd,Russia
Genotypic Technologies,India
GeoGenetic ,Denmark
Georgetown University,United States of America
Georgia Tech,United States of America
Geschickten Biosciences,India
GIGA,Belgium
Global Genome Research Institute,United States of America
GnuBIO,United States of America
Golden Helix,United States of America
Harbor Branch at Florida Atlantic University,United States of America
Harris D McKinney,United States of America
Harvard Medical School,United States of America
Harvard University,United States of America
Heliae,United States of America
Helix2health,Singapore
Helixxa,Brazil
Huazhong,China
HudsonAlpha Institute for Biotechnology,United States of America
"Hunter College, CUNY",United States of America
IBM,United States of America
IBT-UNAM,Mexico
Idaho State University,United States of America
IIT GmbH,Germany
Illumina,United States of America
Imeprial College,United Kingdom
Immune Disease Institute,United States of America
Indiana University-Purdue University Indianapolis (IUPUI),United States of America
Ingenuity Systems,United States of America
INIA,Uruguay
Innsbruck Medical University,Austria
Inqaba Biotec,South Africa
INSEAD,France
InSilico Genomics,Belgium
Institute for Systems Biology,United States of America
Institute of Bioorganic Chemistry,Belarus
Institute of Microbiology,Czech Republic
Institute of Systems Biology,United States of America
Institute of Theoretical and Experimental Biophysics,United States of America
Instituto de Medicina Genomica,Spain
Instituto Nacional de Tecnologia Agropecuaria (INTA),Argentina
IntegenX Inc.,United States of America
Integragen,France
Integromics,Spain
Intelligent Biosystems,United States of America
