name,kind
4peaks,Software
AB Large Indel Tool,Software
AB Small Indel Tool,Software
ABBA,Software
ABMapper,Software
ABySS,Software
Adapter Removal (software),Software
AGE,Software
AGILE,Software
Agp2amos,Software
Alcovna,Software
ALEXA-Seq,Software
ALLPATHS,Software
Alta-Cyclic,Software
AMOS,Software
ANCHOR,Software
Anno-J,Software
ANNOVAR,Software
Arachne,Software
AREM,Software
Arf,Software
Array Suite (Array Studio/Server),Software
ArrayExpressHTS,Software
ArrayStar,Software
ASC,Software
ATAC,Software
Atlas Suite,Software
Atlas-SNP2,Software
Avadis NGS,Software
Baa.pl,Software
Bambino,Software
Bambus,Software
BAMseek,Software
BamTools,Software
BamView,Software
Barcode generator,Software
Barcrawl Bartab,Software
BarraCUDA,Software
Batman,Software
BayesCall,Software
BayesPeak,Software
BaySeq,Software
BBSeq,Software
Bcbio-nextgen,Software
BEADS,Software
BEAP,Software
BEDTools,Software
Bedutils,Software
Belvu,Software
BFAST,Software
BFCounter,Software
BING,Software
Bionimbus,Software
Biopieces,Software
Biopython,Software
BioSmalltalk,Software
BiQ Analyzer,Software
BiQ Analyzer HT,Software
Bis-SNP,Software
Bismark,Software
Bison,Software
BLAST,Software
BLAT,Software
Blixem,Software
BOAT,Software
Bort,Software
Bowtie,Software
BRAT,Software
BRCA-diagnostic,Software
BreakDancer,Software
Breakpointer,Software
BreakSeq,Software
Breakway,Software
BS Seeker,Software
BS-Seq,Software
BSMAP,Software
BSSim,Software
Btrim,Software
BWA,Software
BWA-SW,Software
CABOG,Software
CANGS,Software
CARPET,Software
CASHX,Software
CATCH,Software
CatchAll,Software
CGA Tools,Software
ChimeraScan,Software
ChIP-Seq (application),Software
ChIPmeta,Software
ChIPMunk,Software
CHiPSeq,Software
ChIPseqR,Software
Chipster,Software
ChromaSig,Software
ChromHMM,Software
CisGenome,Software
Cistrome,Software
CLCbio Genomics Workbench,Software
Clean reads,Software
CleaveLand,Software
CLEVER,Software
ClipCrop,Software
CloudAligner,Software
CloudBurst,Software
ClustDB,Software
CNANorm,Software
CNAseg,Software
CNAseg,Software
CNB MetaGenomics tools,Software
CnD,Software
CNVer,Software
CnvHMM,Software
CNVnator,Software
CNVseq,Software
CompreheNGSive,Software
CoNAn-SNV,Software
ConDeTri,Software
ContEst,Software
Contra,Software
Contrail,Software
CopySeq,Software
Coral,Software
CORAL (Contig Ordering Algorithm),Software
Cortex,Software
CPTRA,Software
CPTRA,Software
CRAC,Software
CRISP,Software
Crossbow,Software
Crossbow,Software
CUDA-EC,Software
Cufflinks,Software
CummeRbund,Software
Curtain,Software
Cutadapt,Software
DecGPU,Software
DeconSeq,Software
DeFuse,Software
DEGseq,Software
DESeq,Software
DIAL,Software
DiBayes,Software
Diffreps,Software
Dindel,Software
DNA Baser,Software
DNA Chromatogram Explorer,Software
DNAA,Software
DNAzip,Software
DrFAST,Software
DSAP,Software
DSGseq,Software
DSRC,Software
E-miR,Software
Ea-utils,Software
EagleView,Software
EagleView genome viewer,Software
EBCall,Software
ECHO,Software
EDENA,Software
EdgeR,Software
ELAND,Software
EMBF,Software
Epigenome,Software
EpiGRAPH,Software
ERANGE,Software
ERDS,Software
ERNE,Software
Error Correction Evaluation Toolkit,Software
Est2assembly,Software
ESTcalc,Software
EULER,Software
ExomeCNV,Software
ExomeCopy,Software
ExomePicks,Software
Exonerate,Software
FAAST,Software
FACS,Software
FastQ Screen,Software
FastQC,Software
FastQValidator,Software
FDM,Software
FeatureCounts,Software
Figaro,Software
Figaro,Software
Filter,Software
FindPeaks 3.1,Software
FindPeaks 4.0 (Vancouver Short Read Package),Software
FLASH,Software
Flexbar,Software
Flower,Software
FlowSim,Software
Flux,Software
Forge,Software
FragGeneScan,Software
FrameDP,Software
FreClu,Software
Freebayes,Software
FREEC,Software
FusionAnalyser,Software
FusionCatcher,Software
FusionHunter,Software
FusionMap,Software
FusionSeq,Software
Fuzzypath,Software
G-Mo.R-Seq,Software
G-SQZ,Software
Galign,Software
Gambit,Software
GAMES,Software
GASSST,Software
GASV,Software
GATK,Software
GBrowse,Software
GeeFu,Software
GEM,Software
GEM library,Software
GENE-Counter,Software
Geneious,Software
GeneProf,Software
GeneTalk,Software
Genomatix Mining Station (GMS),Software
Genome Trax,Software
GenomeBrowse,Software
Genomedata,Software
GenomeJack,Software
GenomeMapper,Software
Genometa,Software
GenomeTools,Software
GenomeView,Software
GenomicTools,Software
GenoMiner,Software
GenoViewer,Software
GensearchNGS,Software
GenVision,Software
Geoseq,Software
GigaBayes,Software
GimmeMotifs,Software
Girafe,Software
Gk arrays,Software
GMAP,Software
Gnumap,Software
Goby framework,Software
Golden Helix,Software
Goseq,Software
Gowinda,Software
GPS,Software
GPSeq,Software
GRS,Software
GSNAP,Software
Hairpin Annotation,Software
Haplowser,Software
HawkEye,Software
HeliSphere,Software
HI,Software
Hicup,Software
HiTEC,Software
HMMSplicer,Software
HPeak,Software
HTSeq,Software
Hybrid-SHREC,Software
IBD2,Software
Ibis,Software
ICORN,Software
IDBA,Software
IGV,Software
Illuminator,Software
Inchworm,Software
InGAP,Software
Ingenuity Variant Analysis,Software
Integrated Genome Browser,Software
IOmics,Software
IQSeq,Software
ISAAC,Software
Isas,Software
IsoEM,Software
ISSAKE,Software
JBrowse,Software
Jellyfish,Software
JointSLM,Software
KARMA,Software
Kismeth,Software
Kissnp,Software
KNIME,Software
Knime4Bio,Software
Krona,Software
Lab7,Software
Lasergene,Software
LAST,Software
LASTZ,Software
LobSTR,Software
LOCAS,Software
LookSeq,Software
MACS,Software
MagicViewer,Software
MapDamage,Software
MapNext,Software
Mapsembler,Software
MapSplice,Software
MapView,Software
MAQ,Software
MAQGene,Software
MARGARITA,Software
Mason,Software
Mauve,Software
MAXIMUS,Software
MAYDAY,Software
Meerkat,Software
MEGAN,Software
Megraft,Software
Meraculous,Software
METAGENassist,Software
MetaSim,Software
Metaxa,Software
